id,name,transitScore,otrainStops,busStops,busStopDensity,distanceToOtrain,areaKm2
overbrook,Overbrook,100,6,134,21.4,1.2,6.25
centretown,Centretown,98,4,89,23.8,0.3,3.74
riverview,Riverview,91,2,145,17.8,1,8.15
hintonburg-mechanicsville,Hintonburg - Mechanicsville,88,4,41,24,0.4,1.71
old-hunt-club,Old Hunt Club,87,3,107,13.5,2.1,7.92
sandy-hill,Sandy Hill,86,2,57,24.5,0.6,2.33
old-ottawa-east,Old Ottawa East,83,2,39,20.5,0.7,1.9
carson-grove-carson-meadows,Carson Grove - Carson Meadows,81,2,66,16.4,1.2,4.04
lowertown-west,Lowertown West,80,2,27,22.3,1,1.21
ledbury-heron-gate-ridgemont,Ledbury - Heron Gate - Ridgemont,76,1,66,16.4,1,4.03
civic-hospital,Civic Hospital,70,1,26,17.2,1.4,1.51
island-park-wellington-village,Island Park - Wellington Village,70,2,35,14.2,0.7,2.47
lebreton-development,Lebreton Development,69,4,11,13.5,0.5,0.81
west-centretown,West Centretown,69,0,47,31.1,0.3,1.51
riverside-park-mooney-s-bay,Riverside Park - Mooney's Bay,66,1,46,13.2,0.3,3.49
south-keys,South Keys,66,0,30,24.4,0.6,1.23
billings-bridge-heron-park,Billings Bridge - Heron Park,65,0,47,17.8,0.9,2.64
carlington,Carlington,65,0,107,29.5,2.8,3.63
westboro,Westboro,63,0,67,22.6,1.7,2.97
beacon-hill-south-cardinal-heights,Beacon Hill South - Cardinal Heights,61,0,56,24.7,1.7,2.27
alta-vista,Alta Vista,60,0,77,20.3,2.1,3.8
fallingbrook,Fallingbrook,60,0,131,22.7,11.5,5.78
queenswood-heights,Queenswood Heights,60,0,103,24.7,8.7,4.17
convent-glen-orleans-woods,Convent Glen - Orléans Woods,59,0,115,19.7,7.9,5.83
old-barrhaven-east,Old Barrhaven East,59,0,100,19.3,5.7,5.17
riverside-south-leitrim,Riverside South - Leitrim,58,2,81,3.4,2.2,23.65
findlay-creek,Findlay Creek,57,2,68,4.1,2.7,16.76
old-ottawa-south,Old Ottawa South,57,0,33,20.4,1.1,1.62
vanier-south,Vanier South,57,0,33,27.3,1.7,1.21
borden-farm-fisher-glen,Borden Farm - Fisher Glen,56,0,57,19.6,3.9,2.91
greenboro-west,Greenboro West,56,0,28,22.2,1.8,1.26
laurentian,Laurentian,56,0,61,19.3,3.2,3.16
glebe-dows-lake,Glebe - Dows Lake,55,0,52,17.3,1.1,3.01
lowertown-east,Lowertown East,55,0,27,29,1.2,0.93
pineview,Pineview,55,0,31,14.5,0.9,2.14
katimavik-hazeldean,Katimavik - Hazeldean,54,0,95,17.3,17.5,5.49
vanier-north,Vanier North,54,0,46,26.2,2.3,1.76
whitehaven-woodpark-glabar-park,Whitehaven - Woodpark - Glabar Park,54,0,60,18.3,4.8,3.28
blackburn-hamlet,Blackburn Hamlet,53,0,58,18.1,3.7,3.2
bayshore,Bayshore,52,0,62,30.2,8.4,2.05
beaverbrook,Beaverbrook,52,0,62,20.7,15.7,3
hunt-club-park,Hunt Club Park,52,0,37,22,4.2,1.68
manor-park,Manor Park,52,0,41,19.5,3.6,2.1
orleans-village-chateauneuf,Orléans Village - Chateauneuf,52,0,69,19.2,8.8,3.6
rothwell-heights-beacon-hill-north,Rothwell Heights - Beacon Hill North,52,0,85,14.9,2.8,5.72
braemar-park-bel-air-heights-copeland-park,Braemar Park - Bel Air Heights - Copeland Park,51,0,55,17.3,4.5,3.18
bridlewood-emerald-meadows,Bridlewood - Emerald Meadows,51,0,100,15.3,14.6,6.52
glen-cairn,Glen Cairn,50,0,80,16.9,16.6,4.74
greenboro-east,Greenboro East,49,0,29,19,2.2,1.53
hawthorne-meadows-sheffield-glen,Hawthorne Meadows - Sheffield Glen,49,0,24,19.4,3,1.24
parkwood-hills,Parkwood Hills,49,0,21,42.4,3.9,0.49
crestview-tanglewood,Crestview - Tanglewood,47,0,63,17.1,5.9,3.69
bells-corners-west,Bells Corners West,46,0,29,24.1,12.3,1.2
chapel-hill-north,Chapel Hill North,46,0,66,16.3,6.4,4.06
new-edinburgh,New Edinburgh,46,0,29,17.5,2.1,1.66
britannia,Britannia,45,0,49,17.5,6.6,2.8
carleton-heights-courtland-park,Carleton Heights - Courtland Park,45,0,41,13.4,2,3.06
emerald-woods-sawmill-creek,Emerald Woods - Sawmill Creek,45,0,28,14.8,1.3,1.89
qualicum-redwood,Qualicum - Redwood,43,0,40,17.7,8.7,2.26
stittsville,Stittsville,43,0,120,11.6,19.9,10.33
centrepointe,Centrepointe,42,0,48,16,7.1,3
merivale-gardens-grenfell-glen-pineglen-country-place,Merivale Gardens - Grenfell Glen - Pineglen - Country Place,42,0,68,11.6,3.8,5.85
old-barrhaven-west,Old Barrhaven West,42,0,118,10.9,8.5,10.86
brookside-briarbrook-morgan-s-grant,Brookside - Briarbrook - Morgan's Grant,41,0,108,10.3,16.4,10.52
elmvale-canterbury,Elmvale - Canterbury,41,0,38,14.2,2.8,2.67
greely,Greely,40,2,22,0.3,2.4,68.48
iris,Iris,40,0,32,17,6.7,1.88
kanata-lakes,Kanata Lakes,40,0,127,10,17.8,12.7
fisher-heights,Fisher Heights,38,0,27,13.8,3.8,1.95
portobello-south,Portobello South,36,0,136,8.1,10.5,16.82
blossom-park-timbermill,Blossom Park - Timbermill,34,0,38,8.4,1.8,4.5
chapel-hill-south,Chapel Hill South,34,0,91,7.8,7.8,11.74
chapman-mills,Chapman Mills,33,0,35,10.7,4.3,3.27
rideau-crest-davidson-heights,Rideau Crest - Davidson Heights,33,0,48,9.4,3.7,5.08
stonebridge-half-moon-bay,Stonebridge - Half Moon Bay,32,0,99,5.9,5.8,16.92
bells-corners-east,Bells Corners East,31,0,40,11.4,11.7,3.52
craig-henry-manordale,Craig Henry - Manordale,31,0,35,12,7.5,2.91
cardinal-creek,Cardinal Creek,30,0,74,7.6,13,9.77
riverside-park-south-revelstoke,Riverside Park South - Revelstoke,29,0,19,7.5,1.8,2.53
queensway-terrace-north,Queensway Terrace North,27,0,17,11.9,6,1.43
playfair-park-guildwood-estates,Playfair Park - Guildwood Estates,26,0,17,9,2.8,1.9
trend-arlington,Trend-Arlington,26,0,19,10.9,9.6,1.75
crystal-bay-lakeview-park,Crystal Bay - Lakeview Park,22,0,40,7.1,10.1,5.66
city-view,City view,21,0,21,8.4,5.9,2.5
stittsville-north,Stittsville North,21,0,48,5.6,21.3,8.65
leslie-park-bruce-farm,Leslie Park - Bruce Farm,19,0,8,8.8,9.1,0.91
stittsville-east,Stittsville East,19,0,38,5.7,17.4,6.61
queenswood-chatelaine,Queenswood - Chatelaine,17,0,27,5.8,11.8,4.67
manotick,Manotick,15,0,64,1,5.7,63.66
richmond,Richmond,15,0,70,0.4,17.6,168.66
navan-sarsfield,Navan - Sarsfield,15,0,65,0.9,19.2,76.02
wateridge-village,Wateridge Village,15,0,15,3.5,3.6,4.25
cumberland,Cumberland,14,0,61,0.9,19.7,64.62
rockcliffe-park,Rockcliffe Park,9,0,4,1.6,2.7,2.54
edwards-carlsbad-springs,Edwards - Carlsbad Springs,7,0,31,0.2,7.8,135.3
munster-ashton,Munster - Ashton,5,0,22,0.1,29.4,148.96
north-gower-kars,North Gower - Kars,4,0,20,0.2,15.1,108.25
vars,Vars,4,0,18,0.2,25.2,88.42
carp,Carp,3,0,14,0.1,22.8,143.06
metcalfe,Metcalfe,3,0,12,0.1,20.2,161.31
dunrobin,Dunrobin,1,0,4,0,21.1,136.84
constance-bay,Constance Bay,0,0,0,0,29,14.11
corkery,Corkery,0,0,0,0,30,139.14
fitzroy,Fitzroy,0,0,0,0,37,165.07
kinburn,Kinburn,0,0,0,0,35.6,161.24
osgoode-vernon,Osgoode - Vernon,0,0,2,0,18.1,150.52